gender,accum_visits,accum_days,accum_subs,accum_pages,accum_onsite,accum_entered,accum_completed,completed_holiday,visit_cycle,purchase_cycle,purchase_freq,pages_per_visit,onsite_per_visit,churn
F,6,7,1,48,74,6,6,0,1.17,1.17,1,8,12.33,0
M,18,325,11,82,127,11,9,5,18.06,36.11,2,4.56,7.06,1
F,35,316,11,187,516,26,20,8,9.03,15.8,1.75,5.34,14.74,1
F,110,1123,37,528,1038,85,62,27,10.21,18.11,1.77,4.8,9.44,0
F,29,440,15,157,177,25,22,9,15.17,20,1.32,5.41,6.1,0
M,3,6,1,23,59,3,3,0,2,2,1,7.67,19.67,0
F,19,157,6,130,387,15,14,3,8.26,11.21,1.36,6.84,20.37,1
M,16,861,29,81,102,11,7,5,53.81,123,2.29,5.06,6.38,1
F,14,246,9,92,139,11,10,2,17.57,24.6,1.4,6.57,9.93,0
F,128,1227,41,598,904,95,66,25,9.59,18.59,1.94,4.67,7.06,1
F,38,692,23,191,343,29,20,8,18.21,34.6,1.9,5.03,9.03,1
F,68,914,31,330,504,52,37,19,13.44,24.7,1.84,4.85,7.41,0
F,27,358,12,142,239,20,15,6,13.26,23.87,1.8,5.26,8.85,1
F,91,898,30,462,847,71,54,22,9.87,16.63,1.69,5.08,9.31,1
M,8,191,7,41,64,6,6,2,23.88,31.83,1.33,5.12,8,0
F,46,550,19,236,286,34,25,11,11.96,22,1.84,5.13,6.22,0
F,21,311,11,107,148,15,11,4,14.81,28.27,1.91,5.1,7.05,0
F,35,514,17,189,236,31,23,10,14.69,22.35,1.52,5.4,6.74,0
M,11,242,8,56,127,10,8,3,22,30.25,1.38,5.09,11.55,0
F,60,768,26,313,338,45,33,18,12.8,23.27,1.82,5.22,5.63,1
F,56,819,27,261,431,44,27,15,14.62,30.33,2.07,4.66,7.7,1
M,21,629,21,96,119,14,9,6,29.95,69.89,2.33,4.57,5.67,0
F,111,1147,38,511,882,90,61,24,10.33,18.8,1.82,4.6,7.95,1
M,24,369,13,115,376,18,12,2,15.38,30.75,2,4.79,15.67,1
F,96,955,32,492,847,81,59,24,9.95,16.19,1.63,5.12,8.82,1
F,94,918,31,460,746,75,57,20,9.77,16.11,1.65,4.89,7.94,0
F,35,328,11,166,312,23,17,5,9.37,19.29,2.06,4.74,8.91,0
F,28,409,14,170,315,20,17,6,14.61,24.06,1.65,6.07,11.25,1
F,59,738,25,289,370,45,34,14,12.51,21.71,1.74,4.9,6.27,1
M,25,882,29,106,246,19,10,4,35.28,88.2,2.5,4.24,9.84,1
M,7,69,3,37,65,5,5,1,9.86,13.8,1.4,5.29,9.29,0
F,24,419,14,140,289,20,17,4,17.46,24.65,1.41,5.83,12.04,1
M,32,780,26,149,334,26,19,7,24.38,41.05,1.68,4.66,10.44,1
F,108,1097,37,538,987,88,67,26,10.16,16.37,1.61,4.98,9.14,0
F,100,916,31,510,947,80,49,20,9.16,18.69,2.04,5.1,9.47,0
F,47,936,31,252,361,36,22,11,19.91,42.55,2.14,5.36,7.68,1
F,100,1089,36,474,803,70,51,23,10.89,21.35,1.96,4.74,8.03,1
F,41,645,22,183,375,32,25,6,15.73,25.8,1.64,4.46,9.15,1
M,18,580,20,97,253,16,10,7,32.22,58,1.8,5.39,14.06,1
F,52,490,17,270,541,45,27,12,9.42,18.15,1.93,5.19,10.4,0
F,27,407,14,121,217,22,12,4,15.07,33.92,2.25,4.48,8.04,1
M,10,528,18,39,39,4,3,2,52.8,176,3.33,3.9,3.9,0
F,18,189,7,96,155,10,9,2,10.5,21,2,5.33,8.61,0
F,39,487,17,204,368,32,22,8,12.49,22.14,1.77,5.23,9.44,1
M,29,600,20,132,308,19,15,7,20.69,40,1.93,4.55,10.62,1
M,34,943,32,155,281,24,17,9,27.74,55.47,2,4.56,8.26,1
F,37,565,19,185,287,30,19,11,15.27,29.74,1.95,5,7.76,1
M,11,247,9,53,90,10,9,3,22.45,27.44,1.22,4.82,8.18,1
F,13,118,4,83,189,13,12,4,9.08,9.83,1.08,6.38,14.54,0
F,29,431,15,131,266,21,19,9,14.86,22.68,1.53,4.52,9.17,1
F,133,1440,48,652,1337,102,76,28,10.83,18.95,1.75,4.9,10.05,1
F,65,828,28,318,587,45,33,16,12.74,25.09,1.97,4.89,9.03,1
F,27,385,13,132,348,23,15,5,14.26,25.67,1.8,4.89,12.89,0
F,128,1309,44,623,960,99,70,27,10.23,18.7,1.83,4.87,7.5,1
F,11,52,2,70,92,10,9,2,4.73,5.78,1.22,6.36,8.36,0
F,46,415,14,254,465,38,25,10,9.02,16.6,1.84,5.52,10.11,0
F,13,77,3,87,220,12,8,3,5.92,9.62,1.62,6.69,16.92,0
F,76,995,33,393,582,59,38,20,13.09,26.18,2,5.17,7.66,1
F,62,631,21,291,536,43,29,12,10.18,21.76,2.14,4.69,8.65,1
F,21,327,11,126,247,17,14,5,15.57,23.36,1.5,6,11.76,1
M,25,1047,35,111,115,17,9,5,41.88,116.33,2.78,4.44,4.6,1
F,23,510,17,102,214,18,11,3,22.17,46.36,2.09,4.43,9.3,1
M,16,804,27,64,65,13,11,4,50.25,73.09,1.45,4,4.06,1
F,4,4,1,28,38,4,4,0,1,1,1,7,9.5,0
F,34,421,14,186,403,28,20,6,12.38,21.05,1.7,5.47,11.85,1
M,35,616,21,150,361,21,14,6,17.6,44,2.5,4.29,10.31,0
M,14,269,9,70,48,10,7,2,19.21,38.43,2,5,3.43,1
F,50,1006,34,240,434,39,26,13,20.12,38.69,1.92,4.8,8.68,1
M,57,955,32,289,612,39,25,13,16.75,38.2,2.28,5.07,10.74,0
F,117,1300,43,581,1093,90,57,28,11.11,22.81,2.05,4.97,9.34,1
M,24,979,33,116,175,19,15,5,40.79,65.27,1.6,4.83,7.29,0
F,76,1182,39,377,640,62,38,14,15.55,31.11,2,4.96,8.42,1
F,36,420,14,182,280,26,19,9,11.67,22.11,1.89,5.06,7.78,0
F,11,53,2,71,103,10,9,1,4.82,5.89,1.22,6.45,9.36,0
F,35,504,17,208,283,27,22,8,14.4,22.91,1.59,5.94,8.09,1
F,9,171,6,59,134,7,6,2,19,28.5,1.5,6.56,14.89,0
F,20,225,8,114,164,15,12,3,11.25,18.75,1.67,5.7,8.2,0
F,32,448,15,178,346,26,21,11,14,21.33,1.52,5.56,10.81,0
F,26,216,8,123,262,19,15,5,8.31,14.4,1.73,4.73,10.08,1
F,20,872,29,120,320,17,13,1,43.6,67.08,1.54,6,16,1
F,71,784,26,324,580,55,40,14,11.04,19.6,1.77,4.56,8.17,1
M,44,1131,38,190,299,22,18,11,25.7,62.83,2.44,4.32,6.8,1
F,51,546,18,215,383,36,24,10,10.71,22.75,2.12,4.22,7.51,0
F,30,405,14,163,432,25,17,7,13.5,23.82,1.76,5.43,14.4,1
F,28,718,24,152,184,23,20,8,25.64,35.9,1.4,5.43,6.57,1
M,22,389,13,84,145,13,7,3,17.68,55.57,3.14,3.82,6.59,1
F,33,390,13,165,284,25,20,9,11.82,19.5,1.65,5,8.61,1
F,22,300,10,113,321,18,12,4,13.64,25,1.83,5.14,14.59,1
F,20,238,8,103,230,18,12,4,11.9,19.83,1.67,5.15,11.5,1
F,17,254,9,106,238,13,10,2,14.94,25.4,1.7,6.24,14,0
F,25,483,16,113,159,18,11,2,19.32,43.91,2.27,4.52,6.36,1
M,59,1293,43,293,323,39,32,17,21.92,40.41,1.84,4.97,5.47,1
F,27,317,11,138,225,21,17,2,11.74,18.65,1.59,5.11,8.33,1
F,25,382,13,130,229,20,17,5,15.28,22.47,1.47,5.2,9.16,0
M,23,666,22,91,165,18,9,5,28.96,74,2.56,3.96,7.17,1
F,87,814,27,437,770,69,50,19,9.36,16.28,1.74,5.02,8.85,0
F,18,771,26,80,164,11,9,2,42.83,85.67,2,4.44,9.11,1
F,80,728,24,399,699,61,44,17,9.1,16.55,1.82,4.99,8.74,1
F,18,267,9,88,164,13,11,6,14.83,24.27,1.64,4.89,9.11,1
F,68,989,33,325,552,52,34,13,14.54,29.09,2,4.78,8.12,1
F,46,530,18,232,422,36,25,8,11.52,21.2,1.84,5.04,9.17,1
F,19,430,15,91,136,14,14,2,22.63,30.71,1.36,4.79,7.16,1
F,92,1245,41,426,616,72,52,18,13.53,23.94,1.77,4.63,6.7,1
F,16,578,20,90,129,15,10,4,36.12,57.8,1.6,5.62,8.06,0
M,12,70,3,77,150,11,9,1,5.83,7.78,1.33,6.42,12.5,0
F,27,313,11,145,160,21,14,7,11.59,22.36,1.93,5.37,5.93,0
M,22,539,18,97,133,19,9,4,24.5,59.89,2.44,4.41,6.05,0
F,66,770,26,326,461,52,37,14,11.67,20.81,1.78,4.94,6.98,0
M,21,756,25,83,128,9,5,3,36,151.2,4.2,3.95,6.1,1
F,74,746,25,352,478,58,44,15,10.08,16.95,1.68,4.76,6.46,1
F,98,1149,38,486,837,83,48,26,11.72,23.94,2.04,4.96,8.54,0
F,52,764,26,255,445,40,31,9,14.69,24.65,1.68,4.9,8.56,1
M,13,474,16,53,135,8,6,0,36.46,79,2.17,4.08,10.38,1
F,13,161,6,68,107,11,9,1,12.38,17.89,1.44,5.23,8.23,0
F,10,26,1,68,200,8,7,1,2.6,3.71,1.43,6.8,20,1
M,10,849,28,46,69,6,3,2,84.9,283,3.33,4.6,6.9,1
M,27,1014,34,134,292,20,19,13,37.56,53.37,1.42,4.96,10.81,1
F,16,385,13,85,253,12,9,4,24.06,42.78,1.78,5.31,15.81,1
F,46,356,12,241,614,35,27,9,7.74,13.19,1.7,5.24,13.35,0
M,8,146,5,36,45,6,4,2,18.25,36.5,2,4.5,5.62,1
F,33,567,19,167,228,25,19,11,17.18,29.84,1.74,5.06,6.91,1
F,34,417,14,191,373,29,21,7,12.26,19.86,1.62,5.62,10.97,1
F,15,72,3,95,144,14,11,3,4.8,6.55,1.36,6.33,9.6,0
M,20,430,15,94,143,15,8,4,21.5,53.75,2.5,4.7,7.15,1
F,116,1328,44,590,991,96,67,28,11.45,19.82,1.73,5.09,8.54,0
F,14,226,8,80,201,9,7,2,16.14,32.29,2,5.71,14.36,1
M,42,1003,33,199,330,33,21,13,23.88,47.76,2,4.74,7.86,1
F,31,607,20,155,287,24,16,6,19.58,37.94,1.94,5,9.26,1
F,26,345,12,147,227,21,15,3,13.27,23,1.73,5.65,8.73,0
M,8,302,10,38,12,5,4,2,37.75,75.5,2,4.75,1.5,1
M,9,104,4,59,142,9,9,3,11.56,11.56,1,6.56,15.78,0
M,6,180,6,33,61,3,3,2,30,60,2,5.5,10.17,1
M,7,219,8,38,58,4,2,1,31.29,109.5,3.5,5.43,8.29,0
M,39,1005,34,179,277,31,21,11,25.77,47.86,1.86,4.59,7.1,1
F,75,1068,36,365,599,62,43,19,14.24,24.84,1.74,4.87,7.99,0
F,69,760,25,347,739,55,37,17,11.01,20.54,1.86,5.03,10.71,0
M,20,364,12,87,124,14,8,3,18.2,45.5,2.5,4.35,6.2,1
M,22,1027,34,106,239,18,10,7,46.68,102.7,2.2,4.82,10.86,0
M,9,171,6,44,77,6,6,3,19,28.5,1.5,4.89,8.56,1
F,98,1159,39,477,951,82,61,21,11.83,19,1.61,4.87,9.7,1
F,43,1003,33,239,457,33,23,12,23.33,43.61,1.87,5.56,10.63,1
F,50,577,19,245,360,41,24,7,11.54,24.04,2.08,4.9,7.2,1
F,91,1052,35,432,772,65,47,21,11.56,22.38,1.94,4.75,8.48,1
F,117,1169,39,577,1001,101,71,27,9.99,16.46,1.65,4.93,8.56,1
F,52,723,24,249,449,44,29,13,13.9,24.93,1.79,4.79,8.63,1
F,22,249,9,121,150,17,14,7,11.32,17.79,1.57,5.5,6.82,1
F,40,522,18,196,439,32,22,8,13.05,23.73,1.82,4.9,10.97,0
M,38,1065,36,186,419,27,17,12,28.03,62.65,2.24,4.89,11.03,1
M,13,463,16,61,95,8,5,2,35.62,92.6,2.6,4.69,7.31,1
F,34,361,12,170,285,24,20,6,10.62,18.05,1.7,5,8.38,1
F,18,194,7,102,162,15,13,1,10.78,14.92,1.38,5.67,9,0
F,41,738,25,207,274,33,24,8,18,30.75,1.71,5.05,6.68,0
F,11,106,4,74,97,9,7,3,9.64,15.14,1.57,6.73,8.82,0
F,77,1019,34,382,589,60,46,18,13.23,22.15,1.67,4.96,7.65,1
F,28,381,13,135,220,20,14,5,13.61,27.21,2,4.82,7.86,1
F,45,630,21,206,368,33,21,11,14,30,2.14,4.58,8.18,1
F,41,744,25,206,407,33,25,10,18.15,29.76,1.64,5.02,9.93,1
F,7,7,1,51,95,7,7,0,1,1,1,7.29,13.57,0
F,37,678,23,185,335,28,19,8,18.32,35.68,1.95,5,9.05,1
F,117,1117,37,564,1097,103,74,27,9.55,15.09,1.58,4.82,9.38,0
M,25,766,26,113,153,17,10,6,30.64,76.6,2.5,4.52,6.12,1
M,9,617,21,42,212,6,3,1,68.56,205.67,3,4.67,23.56,1
M,30,857,29,160,390,22,18,12,28.57,47.61,1.67,5.33,13,1
M,5,77,3,26,23,4,3,1,15.4,25.67,1.67,5.2,4.6,0
F,65,823,28,337,716,47,29,15,12.66,28.38,2.24,5.18,11.02,0
M,15,330,11,63,69,11,9,5,22,36.67,1.67,4.2,4.6,1
F,27,715,24,152,297,22,19,6,26.48,37.63,1.42,5.63,11,1
M,28,729,24,130,198,21,16,8,26.04,45.56,1.75,4.64,7.07,0
M,20,700,24,100,131,13,10,6,35,70,2,5,6.55,1
M,38,897,30,192,368,32,23,12,23.61,39,1.65,5.05,9.68,1
F,25,225,8,135,234,23,18,4,9,12.5,1.39,5.4,9.36,0
F,19,266,9,114,218,16,15,4,14,17.73,1.27,6,11.47,0
M,15,253,9,64,104,9,8,3,16.87,31.62,1.88,4.27,6.93,1
M,26,511,17,118,171,17,13,7,19.65,39.31,2,4.54,6.58,1
M,31,951,32,146,250,26,16,8,30.68,59.44,1.94,4.71,8.06,1
F,86,901,30,430,788,62,44,18,10.48,20.48,1.95,5,9.16,0
F,67,904,30,337,657,52,40,15,13.49,22.6,1.68,5.03,9.81,1
M,36,589,20,184,283,28,18,10,16.36,32.72,2,5.11,7.86,1
F,39,443,15,176,271,29,23,7,11.36,19.26,1.7,4.51,6.95,0
F,41,599,20,225,351,33,23,8,14.61,26.04,1.78,5.49,8.56,0
M,42,951,32,194,414,32,21,11,22.64,45.29,2,4.62,9.86,0
F,44,721,24,216,196,31,22,11,16.39,32.77,2,4.91,4.45,1
F,6,8,1,51,147,6,5,0,1.33,1.6,1.2,8.5,24.5,0
F,22,275,10,142,217,18,15,5,12.5,18.33,1.47,6.45,9.86,1
F,59,911,30,311,451,45,37,17,15.44,24.62,1.59,5.27,7.64,1
F,70,1012,34,383,616,58,46,17,14.46,22,1.52,5.47,8.8,0
F,84,927,31,421,536,69,49,18,11.04,18.92,1.71,5.01,6.38,1
M,26,493,17,120,235,19,11,7,18.96,44.82,2.36,4.62,9.04,1
F,67,634,21,334,629,55,41,14,9.46,15.46,1.63,4.99,9.39,0
F,81,1093,36,376,547,66,44,21,13.49,24.84,1.84,4.64,6.75,1
F,85,1082,36,420,830,60,43,20,12.73,25.16,1.98,4.94,9.76,0
F,12,29,1,71,132,11,9,1,2.42,3.22,1.33,5.92,11,1
F,67,880,29,342,663,56,39,19,13.13,22.56,1.72,5.1,9.9,1
F,19,308,11,103,147,13,12,4,16.21,25.67,1.58,5.42,7.74,0
M,40,1078,36,198,297,30,25,14,26.95,43.12,1.6,4.95,7.42,0
F,67,1029,34,322,515,54,35,13,15.36,29.4,1.91,4.81,7.69,0
F,42,494,17,215,322,31,24,9,11.76,20.58,1.75,5.12,7.67,1
F,21,182,6,106,301,14,11,4,8.67,16.55,1.91,5.05,14.33,1
F,23,378,13,115,180,18,15,3,16.43,25.2,1.53,5,7.83,1
M,21,467,16,114,186,18,13,5,22.24,35.92,1.62,5.43,8.86,1
M,8,169,6,33,46,6,3,1,21.12,56.33,2.67,4.12,5.75,0
F,17,179,6,81,129,13,10,2,10.53,17.9,1.7,4.76,7.59,1
F,85,1233,41,370,547,61,43,18,14.51,28.67,1.98,4.35,6.44,1
M,8,466,16,47,121,7,6,1,58.25,77.67,1.33,5.88,15.12,0
F,85,991,33,396,563,67,45,18,11.66,22.02,1.89,4.66,6.62,1
F,14,186,7,95,365,12,7,2,13.29,26.57,2,6.79,26.07,0
M,14,379,13,58,89,10,6,1,27.07,63.17,2.33,4.14,6.36,1
M,3,96,4,21,37,3,1,0,32,96,3,7,12.33,0
F,28,417,14,148,272,21,15,8,14.89,27.8,1.87,5.29,9.71,1
F,14,95,4,80,231,11,11,0,6.79,8.64,1.27,5.71,16.5,1
F,56,546,18,306,437,49,31,13,9.75,17.61,1.81,5.46,7.8,0
F,24,357,12,117,157,18,11,3,14.88,32.45,2.18,4.88,6.54,0
F,48,919,31,230,375,34,23,9,19.15,39.96,2.09,4.79,7.81,1
F,29,246,9,146,216,21,17,6,8.48,14.47,1.71,5.03,7.45,0
F,73,764,26,331,594,56,36,15,10.47,21.22,2.03,4.53,8.14,0
F,48,413,14,236,414,36,27,11,8.6,15.3,1.78,4.92,8.62,0
F,28,337,12,144,306,24,17,3,12.04,19.82,1.65,5.14,10.93,1
F,132,1405,47,652,1180,104,65,31,10.64,21.62,2.03,4.94,8.94,0
M,10,342,12,44,73,7,5,3,34.2,68.4,2,4.4,7.3,1
F,129,1338,44,626,1041,93,64,28,10.37,20.91,2.02,4.85,8.07,0
F,30,419,14,144,244,24,16,5,13.97,26.19,1.88,4.8,8.13,1
F,52,555,19,258,277,44,31,12,10.67,17.9,1.68,4.96,5.33,0
F,27,288,10,127,222,17,12,4,10.67,24,2.25,4.7,8.22,1
M,16,296,10,87,112,14,9,4,18.5,32.89,1.78,5.44,7,1
M,26,667,22,129,149,19,12,7,25.65,55.58,2.17,4.96,5.73,1
F,13,28,1,82,113,11,11,1,2.15,2.55,1.18,6.31,8.69,0
F,11,58,2,75,232,9,9,2,5.27,6.44,1.22,6.82,21.09,0
F,21,196,7,121,141,19,14,5,9.33,14,1.5,5.76,6.71,0
F,42,700,24,192,333,29,22,9,16.67,31.82,1.91,4.57,7.93,1
F,91,965,32,456,723,71,50,19,10.6,19.3,1.82,5.01,7.95,1
M,33,753,25,160,218,23,17,11,22.82,44.29,1.94,4.85,6.61,1
M,64,1172,39,297,459,52,37,20,18.31,31.68,1.73,4.64,7.17,0
F,53,732,25,259,466,45,34,13,13.81,21.53,1.56,4.89,8.79,1
M,41,860,29,183,313,29,22,15,20.98,39.09,1.86,4.46,7.63,1
F,23,309,11,124,257,17,15,2,13.43,20.6,1.53,5.39,11.17,1
F,14,52,2,78,163,12,9,2,3.71,5.78,1.56,5.57,11.64,1
F,89,1385,46,466,815,62,46,17,15.56,30.11,1.93,5.24,9.16,1
F,81,1032,34,380,554,65,48,17,12.74,21.5,1.69,4.69,6.84,1
F,92,1067,36,434,940,77,53,19,11.6,20.13,1.74,4.72,10.22,1
F,110,1324,44,515,968,90,62,28,12.04,21.35,1.77,4.68,8.8,0
F,40,668,22,205,244,34,25,7,16.7,26.72,1.6,5.12,6.1,1
F,29,637,21,150,213,19,16,4,21.97,39.81,1.81,5.17,7.34,1
F,87,925,31,438,658,64,44,21,10.63,21.02,1.98,5.03,7.56,0
F,15,227,8,77,139,10,7,3,15.13,32.43,2.14,5.13,9.27,1
F,125,1307,43,639,1099,103,66,31,10.46,19.8,1.89,5.11,8.79,0
F,35,425,14,176,316,26,21,7,12.14,20.24,1.67,5.03,9.03,1
F,13,256,9,49,155,8,6,1,19.69,42.67,2.17,3.77,11.92,1
F,57,768,26,274,469,41,35,16,13.47,21.94,1.63,4.81,8.23,0
F,37,399,14,210,425,26,22,10,10.78,18.14,1.68,5.68,11.49,0
F,38,545,18,200,294,30,23,11,14.34,23.7,1.65,5.26,7.74,1
F,148,1410,47,692,1229,106,76,31,9.53,18.55,1.95,4.68,8.3,0
F,18,86,3,120,310,16,13,3,4.78,6.62,1.38,6.67,17.22,0
F,23,496,17,114,227,18,14,3,21.57,35.43,1.64,4.96,9.87,1
F,36,505,17,179,256,30,22,9,14.03,22.95,1.64,4.97,7.11,1
F,24,576,19,145,191,21,17,6,24,33.88,1.41,6.04,7.96,0
F,13,69,3,85,105,11,9,3,5.31,7.67,1.44,6.54,8.08,0
F,53,557,19,272,552,42,31,12,10.51,17.97,1.71,5.13,10.42,1
F,23,384,13,122,151,18,11,3,16.7,34.91,2.09,5.3,6.57,1
F,71,890,30,335,622,57,46,15,12.54,19.35,1.54,4.72,8.76,1
F,30,388,13,162,286,23,16,8,12.93,24.25,1.88,5.4,9.53,0
F,39,464,16,219,582,34,31,12,11.9,14.97,1.26,5.62,14.92,0
F,66,814,27,321,670,48,35,16,12.33,23.26,1.89,4.86,10.15,1
F,55,743,25,276,682,39,29,11,13.51,25.62,1.9,5.02,12.4,1
F,33,392,13,171,418,24,18,9,11.88,21.78,1.83,5.18,12.67,0
F,73,1078,36,382,654,60,43,19,14.77,25.07,1.7,5.23,8.96,1
F,32,466,16,178,324,28,18,7,14.56,25.89,1.78,5.56,10.12,1
F,35,383,13,177,496,26,23,5,10.94,16.65,1.52,5.06,14.17,1
M,20,465,16,103,238,19,10,5,23.25,46.5,2,5.15,11.9,1
F,33,277,10,164,311,25,17,5,8.39,16.29,1.94,4.97,9.42,0
F,72,833,28,352,415,58,43,18,11.57,19.37,1.67,4.89,5.76,1
F,22,257,9,122,238,18,12,2,11.68,21.42,1.83,5.55,10.82,1
F,5,5,1,37,96,5,4,0,1,1.25,1.25,7.4,19.2,0
F,14,501,17,74,92,10,7,2,35.79,71.57,2,5.29,6.57,1
M,44,1163,39,220,365,38,25,14,26.43,46.52,1.76,5,8.3,1
M,15,565,19,64,91,8,5,3,37.67,113,3,4.27,6.07,1
F,74,914,31,378,510,62,43,20,12.35,21.26,1.72,5.11,6.89,0
F,69,1144,38,348,614,56,37,16,16.58,30.92,1.86,5.04,8.9,1
F,36,347,12,175,355,24,22,7,9.64,15.77,1.64,4.86,9.86,0
F,91,1238,41,442,803,67,51,19,13.6,24.27,1.78,4.86,8.82,1
M,14,391,13,69,95,13,10,4,27.93,39.1,1.4,4.93,6.79,0
M,12,386,13,55,140,7,7,4,32.17,55.14,1.71,4.58,11.67,1
F,31,513,17,170,326,24,14,6,16.55,36.64,2.21,5.48,10.52,1
F,22,327,11,114,126,14,13,4,14.86,25.15,1.69,5.18,5.73,1
F,98,1050,35,481,905,76,51,21,10.71,20.59,1.92,4.91,9.23,0
M,23,444,15,103,143,15,11,4,19.3,40.36,2.09,4.48,6.22,1
M,66,1144,38,305,393,45,31,19,17.33,36.9,2.13,4.62,5.95,1
F,13,255,9,74,200,9,8,2,19.62,31.88,1.62,5.69,15.38,1
F,28,451,15,132,157,23,14,6,16.11,32.21,2,4.71,5.61,1
F,26,229,8,152,282,23,16,2,8.81,14.31,1.62,5.85,10.85,1
F,21,260,9,132,239,17,14,3,12.38,18.57,1.5,6.29,11.38,0
F,25,539,18,126,143,20,14,3,21.56,38.5,1.79,5.04,5.72,1
M,36,604,20,171,306,27,24,11,16.78,25.17,1.5,4.75,8.5,1
F,79,915,31,382,639,66,42,18,11.58,21.79,1.88,4.84,8.09,1
F,70,1019,34,367,631,59,39,21,14.56,26.13,1.79,5.24,9.01,1
M,11,174,6,53,83,8,5,1,15.82,34.8,2.2,4.82,7.55,1
F,19,267,9,115,198,17,13,3,14.05,20.54,1.46,6.05,10.42,0
F,21,292,10,110,254,17,13,5,13.9,22.46,1.62,5.24,12.1,1
F,77,804,27,379,812,60,38,18,10.44,21.16,2.03,4.92,10.55,0
F,19,452,15,107,213,17,12,5,23.79,37.67,1.58,5.63,11.21,1
F,33,834,28,167,375,27,20,7,25.27,41.7,1.65,5.06,11.36,1
F,75,991,33,361,764,64,42,17,13.21,23.6,1.79,4.81,10.19,1
F,18,451,15,93,197,12,11,2,25.06,41,1.64,5.17,10.94,1
M,2,2,1,8,14,1,1,0,1,2,2,4,7,1
F,16,316,11,88,107,15,11,6,19.75,28.73,1.45,5.5,6.69,0
F,69,983,33,356,664,58,35,18,14.25,28.09,1.97,5.16,9.62,1
F,72,986,33,358,779,59,40,21,13.69,24.65,1.8,4.97,10.82,0
M,15,381,13,65,82,11,9,5,25.4,42.33,1.67,4.33,5.47,0
F,25,277,10,133,265,18,13,5,11.08,21.31,1.92,5.32,10.6,1
F,57,696,23,278,466,46,33,13,12.21,21.09,1.73,4.88,8.18,1
F,77,920,31,350,590,59,40,18,11.95,23,1.92,4.55,7.66,0
F,11,28,1,82,199,11,11,1,2.55,2.55,1,7.45,18.09,0
F,10,55,2,68,99,9,9,2,5.5,6.11,1.11,6.8,9.9,0
F,56,657,22,276,448,47,32,14,11.73,20.53,1.75,4.93,8,0
F,25,394,13,144,333,22,15,4,15.76,26.27,1.67,5.76,13.32,1
F,26,489,17,129,193,24,14,4,18.81,34.93,1.86,4.96,7.42,1
F,63,722,24,318,579,53,37,15,11.46,19.51,1.7,5.05,9.19,0
F,19,371,13,98,191,16,12,5,19.53,30.92,1.58,5.16,10.05,1
F,46,533,18,232,283,34,21,6,11.59,25.38,2.19,5.04,6.15,0
F,62,761,26,330,656,52,42,16,12.27,18.12,1.48,5.32,10.58,1
F,32,245,9,158,390,24,16,5,7.66,15.31,2,4.94,12.19,0
F,33,368,13,153,265,24,15,6,11.15,24.53,2.2,4.64,8.03,1
F,45,715,24,232,381,34,21,8,15.89,34.05,2.14,5.16,8.47,1
F,53,901,30,247,359,42,34,14,17,26.5,1.56,4.66,6.77,1
F,64,1069,36,311,532,48,37,16,16.7,28.89,1.73,4.86,8.31,1
M,13,447,15,59,75,9,5,1,34.38,89.4,2.6,4.54,5.77,1
F,10,26,1,64,271,8,7,1,2.6,3.71,1.43,6.4,27.1,0
M,23,572,19,120,210,16,11,7,24.87,52,2.09,5.22,9.13,1
M,20,783,26,83,162,17,12,8,39.15,65.25,1.67,4.15,8.1,0
F,22,283,10,103,138,15,10,3,12.86,28.3,2.2,4.68,6.27,1
F,10,55,2,55,142,9,7,2,5.5,7.86,1.43,5.5,14.2,0
F,26,319,11,149,278,22,18,7,12.27,17.72,1.44,5.73,10.69,1
F,65,707,24,325,504,56,35,16,10.88,20.2,1.86,5,7.75,0
F,61,728,24,305,525,51,34,14,11.93,21.41,1.79,5,8.61,0
F,56,594,20,285,447,47,33,10,10.61,18,1.7,5.09,7.98,0
F,29,532,18,152,271,22,16,7,18.34,33.25,1.81,5.24,9.34,1
F,36,750,25,187,314,25,20,9,20.83,37.5,1.8,5.19,8.72,1
M,48,1017,34,239,416,32,25,19,21.19,40.68,1.92,4.98,8.67,1
M,7,33,2,36,66,5,3,1,4.71,11,2.33,5.14,9.43,1
F,80,1168,39,401,806,62,38,19,14.6,30.74,2.11,5.01,10.07,0
M,15,392,13,67,131,11,8,4,26.13,49,1.88,4.47,8.73,1
F,59,857,29,318,635,53,37,16,14.53,23.16,1.59,5.39,10.76,0
F,73,1086,36,336,606,55,33,18,14.88,32.91,2.21,4.6,8.3,1
F,24,204,7,136,343,19,16,5,8.5,12.75,1.5,5.67,14.29,0
F,31,487,17,134,148,23,17,4,15.71,28.65,1.82,4.32,4.77,1
F,32,598,20,189,332,28,21,8,18.69,28.48,1.52,5.91,10.38,0
F,16,79,3,86,197,13,10,3,4.94,7.9,1.6,5.38,12.31,1
F,92,1012,34,486,817,72,55,24,11,18.4,1.67,5.28,8.88,0
F,15,74,3,97,225,14,11,4,4.93,6.73,1.36,6.47,15,0
F,72,768,26,358,713,55,41,18,10.67,18.73,1.76,4.97,9.9,1
F,47,542,18,221,316,32,21,7,11.53,25.81,2.24,4.7,6.72,0
F,38,437,15,219,325,33,29,10,11.5,15.07,1.31,5.76,8.55,0
F,55,713,24,289,547,46,27,12,12.96,26.41,2.04,5.25,9.95,1
