gender,accum_visits,accum_days,accum_subs,accum_pages,accum_onsite,accum_entered,accum_completed,completed_holiday,visit_cycle,purchase_cycle,purchase_freq,pages_per_visit,onsite_per_visit,churn
F,33,414,14,161,251,28,20,9,12.55,20.7,1.65,4.88,7.61,0
F,15,369,13,79,100,11,8,3,24.6,46.12,1.88,5.27,6.67,1
F,24,221,8,137,195,21,18,3,9.21,12.28,1.33,5.71,8.12,0
F,23,328,11,142,232,20,15,5,14.26,21.87,1.53,6.17,10.09,1
F,35,600,20,171,269,28,22,9,17.14,27.27,1.59,4.89,7.69,1
F,21,404,14,95,143,16,12,4,19.24,33.67,1.75,4.52,6.81,1
F,47,614,21,239,462,34,25,14,13.06,24.56,1.88,5.09,9.83,1
M,18,507,17,52,122,12,7,4,28.17,72.43,2.57,2.89,6.78,1
F,150,1375,46,725,1405,118,82,34,9.17,16.77,1.83,4.83,9.37,1
F,38,610,21,168,264,29,18,5,16.05,33.89,2.11,4.42,6.95,1
F,113,1414,47,580,1211,91,66,29,12.51,21.42,1.71,5.13,10.72,1
M,9,137,5,49,75,6,5,2,15.22,27.4,1.8,5.44,8.33,1
F,25,678,23,114,196,17,15,4,27.12,45.2,1.67,4.56,7.84,1
F,18,177,6,94,142,15,7,1,9.83,25.29,2.57,5.22,7.89,1
M,25,744,25,95,120,15,10,6,29.76,74.4,2.5,3.8,4.8,1
F,29,314,11,135,253,18,14,6,10.83,22.43,2.07,4.66,8.72,0
M,55,1038,35,244,369,35,18,14,18.87,57.67,3.06,4.44,6.71,1
F,22,341,12,124,271,16,15,6,15.5,22.73,1.47,5.64,12.32,1
F,98,1080,36,484,820,77,54,26,11.02,20,1.81,4.94,8.37,1
F,30,534,18,160,322,24,16,7,17.8,33.38,1.88,5.33,10.73,0
F,23,256,9,149,257,21,16,5,11.13,16,1.44,6.48,11.17,0
F,16,361,12,87,193,14,12,5,22.56,30.08,1.33,5.44,12.06,1
F,15,79,3,87,112,13,10,2,5.27,7.9,1.5,5.8,7.47,1
F,71,762,26,332,597,57,38,19,10.73,20.05,1.87,4.68,8.41,1
F,48,997,33,225,303,34,26,11,20.77,38.35,1.85,4.69,6.31,1
M,4,17,1,23,43,3,3,1,4.25,5.67,1.33,5.75,10.75,1
F,21,608,20,102,239,15,9,3,28.95,67.56,2.33,4.86,11.38,1
F,12,71,3,71,146,9,7,2,5.92,10.14,1.71,5.92,12.17,1
F,14,190,7,80,91,14,10,3,13.57,19,1.4,5.71,6.5,0
F,55,593,20,270,530,42,29,12,10.78,20.45,1.9,4.91,9.64,1
F,45,660,22,231,388,36,28,11,14.67,23.57,1.61,5.13,8.62,1
M,42,918,31,216,265,33,22,13,21.86,41.73,1.91,5.14,6.31,0
M,13,221,8,59,139,11,8,4,17,27.62,1.62,4.54,10.69,1
M,30,543,18,132,246,26,15,6,18.1,36.2,2,4.4,8.2,0
F,6,6,1,41,80,6,5,0,1,1.2,1.2,6.83,13.33,0
F,10,34,2,62,112,10,10,1,3.4,3.4,1,6.2,11.2,0
F,23,298,10,128,300,21,17,6,12.96,17.53,1.35,5.57,13.04,0
F,14,251,9,73,95,12,9,2,17.93,27.89,1.56,5.21,6.79,1
F,27,423,14,166,307,22,20,9,15.67,21.15,1.35,6.15,11.37,1
F,29,537,18,146,273,26,14,8,18.52,38.36,2.07,5.03,9.41,1
F,65,764,26,295,496,43,32,14,11.75,23.88,2.03,4.54,7.63,1
F,21,278,10,108,166,18,14,6,13.24,19.86,1.5,5.14,7.9,0
F,17,67,3,89,195,11,8,3,3.94,8.38,2.12,5.24,11.47,1
F,17,400,14,91,169,13,11,4,23.53,36.36,1.55,5.35,9.94,1
F,20,154,6,131,132,18,16,3,7.7,9.62,1.25,6.55,6.6,1
F,14,416,14,74,98,12,9,3,29.71,46.22,1.56,5.29,7,1
F,134,1236,41,646,1233,107,73,28,9.22,16.93,1.84,4.82,9.2,0
